,Artist,Trackname,Date,Artist_Trackname,Streams
93,Avicii,Without You (feat. Sandro Cavazza),2017-11-11,Avicii Without You (feat. Sandro Cavazza),839214
94,Avicii,Without You (feat. Sandro Cavazza),2017-11-12,Avicii Without You (feat. Sandro Cavazza),635566
95,Avicii,Without You (feat. Sandro Cavazza),2017-11-13,Avicii Without You (feat. Sandro Cavazza),744800
96,Avicii,Without You (feat. Sandro Cavazza),2017-11-14,Avicii Without You (feat. Sandro Cavazza),751173
97,Avicii,Without You (feat. Sandro Cavazza),2017-11-15,Avicii Without You (feat. Sandro Cavazza),750432
98,Avicii,Without You (feat. Sandro Cavazza),2017-11-16,Avicii Without You (feat. Sandro Cavazza),692792
99,Avicii,Without You (feat. Sandro Cavazza),2017-11-17,Avicii Without You (feat. Sandro Cavazza),735402
100,Avicii,Without You (feat. Sandro Cavazza),2017-11-18,Avicii Without You (feat. Sandro Cavazza),683091
101,Avicii,Without You (feat. Sandro Cavazza),2017-11-19,Avicii Without You (feat. Sandro Cavazza),537330
102,Avicii,Without You (feat. Sandro Cavazza),2017-11-20,Avicii Without You (feat. Sandro Cavazza),558291
103,Avicii,Without You (feat. Sandro Cavazza),2017-11-21,Avicii Without You (feat. Sandro Cavazza),619427
104,Avicii,Without You (feat. Sandro Cavazza),2017-11-22,Avicii Without You (feat. Sandro Cavazza),620014
105,Avicii,Without You (feat. Sandro Cavazza),2017-11-23,Avicii Without You (feat. Sandro Cavazza),621107
106,Avicii,Without You (feat. Sandro Cavazza),2017-11-24,Avicii Without You (feat. Sandro Cavazza),658437
107,Avicii,Without You (feat. Sandro Cavazza),2017-11-25,Avicii Without You (feat. Sandro Cavazza),624948
108,Avicii,Without You (feat. Sandro Cavazza),2017-11-26,Avicii Without You (feat. Sandro Cavazza),465929
109,Avicii,Without You (feat. Sandro Cavazza),2017-11-27,Avicii Without You (feat. Sandro Cavazza),563788
110,Avicii,Without You (feat. Sandro Cavazza),2017-11-28,Avicii Without You (feat. Sandro Cavazza),582260
111,Avicii,Without You (feat. Sandro Cavazza),2017-11-29,Avicii Without You (feat. Sandro Cavazza),590139
112,Avicii,Without You (feat. Sandro Cavazza),2017-11-30,Avicii Without You (feat. Sandro Cavazza),579508
113,Avicii,Without You (feat. Sandro Cavazza),2017-12-01,Avicii Without You (feat. Sandro Cavazza),595672
